user_id,movie_id,rating
405,202,4
774,357,2
846,601,5
267,203,5
319,682,3
645,660,3
289,742,4
731,945,4
179,902,1
868,1031,1
610,210,3
300,1094,5
572,124,5
786,191,4
434,628,1
790,708,3
711,568,3
790,864,4
276,1000,2
225,603,5
721,325,3
363,120,1
267,239,4
334,1226,4
276,783,1
246,174,3
588,51,4
825,741,4
119,259,4
707,902,5
598,312,5
770,288,4
434,287,5
697,25,3
843,159,2
506,168,5
765,286,5
217,385,2
151,208,4
846,648,5
610,183,4
378,77,4
497,195,4
788,983,3
530,195,3
716,488,4
767,506,5
474,526,5
221,1437,3
659,524,4
704,657,4
848,615,5
455,289,3
643,268,4
805,154,5
833,928,2
523,1014,5
330,202,5
643,483,4
373,941,4
269,181,2
418,327,1
117,265,4
500,69,4
389,42,4
854,925,2
809,328,5
355,306,4
407,98,5
788,121,4
396,597,4
796,615,4
562,435,4
804,403,3
338,523,3
701,50,5
110,12,4
545,546,3
798,940,1
276,820,3
239,205,3
639,83,4
650,200,4
343,234,1
768,826,1
588,443,3
786,15,3
682,576,4
648,931,2
707,498,3
127,228,5
857,321,4
690,168,3
395,739,3
832,471,4
717,405,3
773,14,5
757,333,4
750,881,2
864,273,5
591,428,4
618,283,3
840,98,5
796,381,3
782,315,4
561,71,2
158,232,3
624,295,3
840,498,5
686,181,4
592,194,4
537,464,4
782,1258,2
862,210,4
504,773,3
744,50,3
532,1016,4
575,321,3
405,858,1
679,70,4
269,451,1
557,532,5
181,332,2
786,465,4
840,663,4
265,107,1
655,1198,3
823,404,4
320,240,3
537,213,4
795,831,2
498,1073,3
708,283,1
846,193,5
837,628,3
843,403,2
717,340,4
841,270,4
870,517,2
805,1170,5
804,209,3
493,1,3
766,431,3
405,723,1
535,64,5
629,12,5
305,486,5
843,449,3
592,597,2
293,97,4
276,447,4
571,657,4
299,166,4
181,1380,1
828,1073,4
815,96,5
365,1,4
505,604,5
863,1294,4
634,477,3
820,289,2
825,1291,2
207,255,3
843,227,3
782,1386,3
682,959,4
843,205,4
796,603,4
472,33,5
597,111,3
738,511,4
671,31,2
655,845,2
739,56,4
774,254,1
234,1021,4
669,172,3
722,13,2
766,209,3
236,655,3
597,24,3
757,179,4
860,289,3
715,1047,3
772,313,5
660,168,5
527,211,4
788,370,2
839,1664,1
372,44,4
749,755,4
577,307,3
642,765,3
659,204,4
450,1303,4
440,272,5
843,151,2
824,286,2
686,12,5
185,701,3
308,131,4
588,173,5
324,270,5
817,15,3
233,121,4
783,328,4
256,554,4
234,445,2
541,676,3
579,582,4
586,121,5
840,234,5
109,222,4
858,286,4
489,751,5
778,496,1
707,224,4
851,405,5
828,301,2
600,195,4
823,229,3
830,696,2
262,418,3
499,530,4
268,259,3
527,286,2
682,89,4
549,181,4
393,139,4
634,1335,2
682,1090,2
197,184,1
495,144,4
301,323,4
868,398,1
771,542,4
271,40,1
712,955,2
489,1613,4
846,423,4
299,165,4
130,1276,4
850,56,1
104,127,3
497,97,4
749,183,5
313,309,4
698,283,2
829,339,2
818,1105,1
462,136,4
848,480,5
145,890,2
542,523,4
761,222,4
276,7,5
115,741,3
871,245,3
416,509,5
756,421,4
796,974,3
373,194,4
437,292,5
655,296,4
532,310,4
411,222,3
761,1014,1
757,205,4
281,342,1
848,207,5
766,504,3
665,1061,4
825,472,5
846,483,5
128,451,4
394,216,3
715,743,2
653,380,3
749,176,4
271,591,4
495,202,4
727,159,2
293,285,5
472,562,5
453,48,4
588,941,5
607,311,4
472,260,4
854,79,4
796,217,4
825,924,2
862,505,4
342,320,5
805,423,1
532,483,5
303,773,4
569,1197,4
838,223,3
357,322,3
562,144,5
830,651,4
445,689,1
846,796,1
721,402,4
290,596,4
840,737,4
830,183,4
831,1063,4
498,229,2
807,679,4
631,307,4
279,44,1
783,345,4
389,301,4
655,328,2
468,180,5
417,164,3
862,127,5
684,395,2
708,274,4
823,568,3
786,199,4
385,1017,3
850,566,5
674,315,3
215,88,3
460,279,2
106,566,4
811,294,4
694,489,4
683,911,3
175,273,2
851,240,4
596,323,4
269,464,3
541,38,3
710,1,4
269,121,1
709,181,4
648,546,4
587,313,5
378,13,3
766,1203,3
608,207,5
221,651,4
870,952,3
332,1042,4
854,255,1
854,291,2
265,282,5
554,378,4
655,1071,2
798,576,3
405,1387,2
773,204,3
864,168,4
773,47,4
196,173,2
846,1110,3
847,434,3
852,257,4
764,588,5
875,772,5
783,260,4
805,91,5
867,211,3
844,179,3
500,300,4
533,48,4
592,730,4
747,509,5
503,744,2
416,418,4
560,1021,4
567,647,5
823,333,3
664,717,1
655,282,3
660,100,3
141,255,4
707,1311,3
775,307,4
349,276,5
137,1028,5
605,143,1
642,96,5
661,189,4
727,403,4
343,189,4
661,215,3
821,181,4
648,22,4
727,156,4
805,582,3
254,62,3
605,126,5
710,654,4
303,833,2
104,272,4
497,167,2
862,357,3
492,193,4
838,1115,4
130,739,5
699,111,3
592,132,5
553,153,5
480,100,4
789,1161,3
415,531,5
682,257,2
731,56,2
325,523,3
463,137,2
768,252,3
694,528,3
724,358,1
664,588,3
710,269,3
650,187,2
846,1055,3
694,230,4
774,4,2
794,24,5
416,553,4
565,462,4
694,496,4
797,781,5
711,191,5
344,311,4
683,915,2
831,273,3
709,145,3
521,298,3
807,127,3
846,443,4
606,196,4
520,311,3
539,372,2
796,815,4
160,1134,4
876,294,4
476,294,3
334,896,5
705,118,4
429,483,5
733,275,3
453,196,4
753,462,4
601,288,1
680,286,4
655,403,2
443,294,5
716,478,4
126,350,2
758,202,5
342,188,3
582,151,4
687,288,4
323,993,4
821,174,5
727,866,3
872,332,3
160,150,4
829,1018,2
234,45,4
472,215,4
264,186,5
627,205,5
280,72,4
680,515,4
714,763,4
200,742,4
467,1012,3
843,413,2
690,1042,4
829,512,4
576,475,1
654,195,4
757,684,4
766,231,2
758,554,3
151,302,3
579,204,3
534,105,4
276,148,3
442,55,3
831,340,4
207,22,3
844,71,3
804,678,4
788,204,3
564,930,3
643,50,4
426,653,4
303,1034,1
846,555,2
791,286,3
246,1135,1
566,219,1
558,286,4
864,708,3
668,124,3
843,416,2
521,742,3
347,369,4
660,29,2
659,58,4
735,100,2
450,332,4
718,982,4
574,262,5
474,313,4
620,769,4
805,274,2
385,217,2
655,181,3
875,169,5
795,756,3
747,282,2
279,22,1
845,750,3
624,248,4
536,164,4
684,151,3
279,1178,4
804,259,4
866,319,4
835,216,4
262,367,4
834,275,3
853,748,2
407,508,4
738,144,5
679,184,4
201,93,5
694,449,4
279,257,5
608,283,4
663,710,3
452,132,2
627,176,5
692,1054,3
260,350,4
527,197,4
766,507,3
682,255,3
694,429,4
497,1077,4
645,673,3
334,179,4
854,318,5
716,651,5
868,738,2
775,300,4
234,116,2
429,203,5
727,783,3
650,509,3
429,729,2
276,257,4
285,194,4
767,657,4
828,1196,2
397,390,3
812,1393,3
643,470,4
862,288,5
298,479,5
