user_id,age,sex,occupation,movie_id,rating,movie_title
1,24,M,technician,61,4,Three Colors: White (1994)
13,47,M,educator,61,4,Three Colors: White (1994)
18,35,F,other,61,4,Three Colors: White (1994)
58,27,M,programmer,61,5,Three Colors: White (1994)
59,49,M,educator,61,4,Three Colors: White (1994)
60,50,M,healthcare,61,4,Three Colors: White (1994)
76,20,M,student,61,4,Three Colors: White (1994)
94,26,M,student,61,5,Three Colors: White (1994)
144,53,M,programmer,61,3,Three Colors: White (1994)
154,25,M,student,61,4,Three Colors: White (1994)
160,27,M,programmer,61,4,Three Colors: White (1994)
189,32,M,artist,61,3,Three Colors: White (1994)
195,42,M,scientist,61,3,Three Colors: White (1994)
201,27,M,writer,61,2,Three Colors: White (1994)
257,17,M,student,61,5,Three Colors: White (1994)
268,24,M,engineer,61,4,Three Colors: White (1994)
279,33,M,programmer,61,4,Three Colors: White (1994)
296,43,F,administrator,61,3,Three Colors: White (1994)
299,29,M,doctor,61,4,Three Colors: White (1994)
305,23,M,programmer,61,4,Three Colors: White (1994)
308,60,M,retired,61,3,Three Colors: White (1994)
321,49,F,educator,61,5,Three Colors: White (1994)
334,32,M,librarian,61,3,Three Colors: White (1994)
354,29,F,librarian,61,5,Three Colors: White (1994)
380,32,M,engineer,61,4,Three Colors: White (1994)
385,36,M,writer,61,2,Three Colors: White (1994)
387,33,M,entertainment,61,3,Three Colors: White (1994)
391,23,M,student,61,5,Three Colors: White (1994)
405,22,F,healthcare,61,1,Three Colors: White (1994)
409,48,M,administrator,61,4,Three Colors: White (1994)
449,23,M,librarian,61,5,Three Colors: White (1994)
450,35,F,educator,61,4,Three Colors: White (1994)
452,35,M,administrator,61,1,Three Colors: White (1994)
456,24,M,technician,61,4,Three Colors: White (1994)
474,51,M,executive,61,3,Three Colors: White (1994)
493,22,M,engineer,61,4,Three Colors: White (1994)
498,26,M,writer,61,4,Three Colors: White (1994)
500,28,M,administrator,61,4,Three Colors: White (1994)
535,45,F,educator,61,3,Three Colors: White (1994)
537,36,M,engineer,61,4,Three Colors: White (1994)
543,33,M,scientist,61,4,Three Colors: White (1994)
585,69,M,librarian,61,4,Three Colors: White (1994)
592,18,M,student,61,4,Three Colors: White (1994)
608,22,M,other,61,5,Three Colors: White (1994)
639,42,F,librarian,61,3,Three Colors: White (1994)
